TransactionID,pipeline,fraud_prob,prediction,e2e_latency_ms,score_latency_ms,batch_score_ms,batch_latency_s
A2#3663649,A2,0.087156,legit,38.475,,0.401,
B0#3664546,B0,0.020929,legit,,0.378,,146.0921
A1#3664531,A1,0.059113,legit,17.175,0.397,,
A1#3664403,A1,0.049753,legit,15.583,0.392,,
B0#3663856,B0,0.03932,legit,,0.375,,42.132
B0#3664436,B0,0.002878,legit,,0.386,,128.8935
A1#3663621,A1,0.022382,legit,13.233,0.376,,
A1#3664225,A1,0.089858,legit,15.707,2.11,,
enrichment_off#3663654,A2,0.041231,legit,1345.107,,0.82,
A1#3663877,A1,0.147582,legit,14.287,0.419,,
B0#3664024,B0,0.292647,legit,,0.428,,68.7618
B0#3664100,B0,0.056484,legit,,0.435,,78.846
B0#3664228,B0,0.1049,legit,,0.424,,95.8241
B0#3663803,B0,0.164303,legit,,0.358,,35.1425
A2#3663956,A2,0.168073,legit,48.933,,0.405,
enrichment_off#3663599,A2,0.033297,legit,5040.406,,0.793,
B0#3664483,B0,0.045815,legit,,0.434,,137.4466
A1#3663814,A1,0.025801,legit,14.812,0.455,,
enrichment_on#3663680,A2,0.070047,legit,44.94,,0.683,
B0#3664095,B0,0.011569,legit,,0.367,,78.2027
B0#3663567,B0,0.223282,legit,,0.391,,3.1563
A1#3664470,A1,0.138031,legit,13.304,0.378,,
A2#3663920,A2,0.097837,legit,41.216,,0.415,
B0#3664407,B0,0.021682,legit,,0.37,,125.1789
3663602,A2,0.455441,legit,4218.237,,5.355,
3663735,A2,0.205616,legit,41.837,,0.627,
A2#3664164,A2,0.022278,legit,51.429,,0.437,
B0#3664072,B0,0.430393,legit,,0.38,,74.8409
enrichment_off#3663698,A2,0.072228,legit,41.802,,0.607,
B0#3663648,B0,0.071399,legit,,0.472,,14.2422
A1#3663949,A1,0.265479,legit,13.725,0.383,,
A2#3664515,A2,0.071208,legit,63.016,,2.056,
B0#3664144,B0,0.014352,legit,,0.397,,84.1493
A2#3664033,A2,0.079116,legit,54.3,,0.404,
A2#3664293,A2,0.190678,legit,37.245,,0.406,
A1#3664290,A1,0.274435,legit,12.266,0.371,,
A1#3663852,A1,0.049792,legit,12.507,0.43,,
B0#3664500,B0,0.012626,legit,,0.382,,139.9733
A2#3663574,A2,0.047904,legit,3987.502,,0.503,
A2#3664422,A2,0.138964,legit,46.254,,0.449,
A1#3664164,A1,0.022278,legit,15.034,0.377,,
B0#3663707,B0,0.040748,legit,,0.412,,21.2431
enrichment_off#3663613,A2,0.110818,legit,5016.107,,0.82,
B0#3664231,B0,0.041503,legit,,0.368,,96.1801
A2#3664462,A2,0.103774,legit,40.745,,0.389,
B0#3664249,B0,0.060223,legit,,0.372,,98.7277
A1#3664119,A1,0.027815,legit,13.249,0.387,,
A1#3663820,A1,0.026941,legit,14.199,0.443,,
enrichment_off#3663628,A2,0.242758,legit,3526.193,,0.807,
3663572,A2,0.082263,legit,6416.976,,0.794,
B0#3663651,B0,0.021604,legit,,0.429,,14.6118
B0#3664469,B0,0.018644,legit,,0.385,,134.8877
A2#3664085,A2,0.0169,legit,41.075,,3.656,
A2#3664347,A2,0.013576,legit,44.384,,0.524,
enrichment_off#3663692,A2,0.080222,legit,37.76,,0.676,
3663655,A2,0.305094,legit,82.373,,0.695,
A2#3664088,A2,0.314253,legit,62.109,,0.428,
B0#3664490,B0,0.091699,legit,,0.372,,138.4331
A2#3664246,A2,0.008421,legit,46.102,,0.43,
B0#3664476,B0,0.104878,legit,,0.411,,136.2924
B0#3663739,B0,0.011242,legit,,0.388,,25.8193
A2#3664512,A2,0.0019,legit,48.929,,0.428,
B0#3663919,B0,0.389666,legit,,0.341,,51.7091
B0#3663586,B0,0.15905,legit,,0.382,,6.0996
enrichment_on#3663577,A2,0.131649,legit,6855.869,,2.567,
A1#3663771,A1,0.051521,legit,12.37,0.405,,
A1#3664259,A1,0.37102,legit,14.699,0.387,,
A1#3663564,A1,0.059696,legit,6430.255,0.401,,
A1#3664385,A1,0.024302,legit,21.426,0.408,,
A2#3663906,A2,0.168,legit,46.636,,0.404,
B0#3663708,B0,0.013387,legit,,0.357,,21.3606
A2#3663828,A2,0.933365,fraud,44.515,,0.423,
B0#3663593,B0,0.086402,legit,,0.386,,7.0787
A2#3664142,A2,0.047978,legit,37.135,,0.402,
A2#3663685,A2,0.136604,legit,37.389,,0.39,
A2#3664334,A2,0.193457,legit,42.132,,0.401,
A2#3664071,A2,0.016506,legit,38.372,,0.405,
A2#3663684,A2,0.121326,legit,37.469,,0.542,
A1#3664156,A1,0.005527,legit,14.375,0.406,,
enrichment_on#3663588,A2,0.018588,legit,7998.569,,6.282,
A1#3664239,A1,0.012141,legit,16.197,0.402,,
A2#3663872,A2,0.07023,legit,43.088,,5.033,
B0#3663600,B0,0.035576,legit,,0.393,,8.1246
enrichment_off#3663565,A2,0.049792,legit,6965.997,,0.762,
A1#3664192,A1,0.075746,legit,14.838,0.385,,
A1#3664052,A1,0.050887,legit,14.71,0.438,,
B0#3664293,B0,0.190678,legit,,0.412,,105.7684
enrichment_off#3663694,A2,0.039336,legit,58.384,,0.696,
A2#3664365,A2,0.142699,legit,38.046,,0.462,
A2#3663703,A2,0.037782,legit,41.537,,0.393,
A1#3663796,A1,0.103991,legit,20.609,0.394,,
B0#3664420,B0,0.039552,legit,,0.393,,126.8848
A2#3663805,A2,0.068355,legit,51.939,,0.396,
enrichment_on#3663718,A2,0.053593,legit,39.96,,0.603,
3663581,A2,0.26611,legit,8389.595,,9.282,
A2#3664258,A2,0.017569,legit,47.744,,0.421,
A1#3664173,A1,0.020192,legit,14.161,0.371,,
B0#3663670,B0,0.038915,legit,,0.374,,16.9732
A2#3663769,A2,0.647078,fraud,76.947,,0.42,
A2#3663848,A2,0.384862,legit,46.155,,0.421,
B0#3663866,B0,0.085771,legit,,0.379,,43.4202
A1#3664115,A1,0.069556,legit,14.979,0.373,,
enrichment_on#3663689,A2,0.063965,legit,56.333,,0.595,
A1#3664168,A1,0.023968,legit,50.942,0.382,,
enrichment_on#3663629,A2,0.138386,legit,3457.107,,1.02,
3663683,A2,0.04127,legit,38.262,,0.596,
A2#3664517,A2,0.002464,legit,87.731,,0.467,
A2#3664460,A2,0.003718,legit,98.847,,0.406,
A1#3663659,A1,0.009064,legit,17.067,4.133,,
B0#3663724,B0,0.045119,legit,,0.374,,23.4222
A2#3664251,A2,0.049927,legit,152.45,,0.42,
B0#3663645,B0,0.08076,legit,,0.37,,13.8235
A2#3664473,A2,0.05553,legit,40.261,,0.411,
3663699,A2,0.153028,legit,37.058,,0.648,
B0#3663583,B0,0.065164,legit,,0.389,,5.714
A1#3663663,A1,0.131272,legit,16.459,0.376,,
B0#3663552,B0,0.027429,legit,,0.403,,0.8455
A1#3663836,A1,0.974948,fraud,13.367,0.415,,
B0#3663890,B0,0.10219,legit,,0.377,,47.0708
enrichment_on#3663581,A2,0.26611,legit,9145.773,,6.175,
A2#3663633,A2,0.039047,legit,40.516,,0.406,
A1#3663741,A1,0.077777,legit,15.414,0.412,,
B0#3664078,B0,0.046309,legit,,0.388,,75.6862
B0#3664486,B0,0.04065,legit,,0.412,,137.91
A2#3663893,A2,0.329944,legit,47.02,,0.41,
A2#3663696,A2,0.030439,legit,48.12,,0.41,
enrichment_off#3663586,A2,0.15905,legit,6638.532,,0.835,
A1#3664152,A1,0.04931,legit,13.119,0.391,,
B0#3663839,B0,0.009311,legit,,0.347,,39.8475
A2#3663599,A2,0.033297,legit,35.974,,0.424,
enrichment_on#3663696,A2,0.030439,legit,72.373,,0.615,
A1#3664066,A1,0.018308,legit,14.158,0.427,,
A1#3664483,A1,0.045815,legit,20.131,0.403,,
B0#3664132,B0,0.262093,legit,,0.428,,82.7702
A1#3663648,A1,0.071399,legit,13.055,0.4,,
A1#3664435,A1,0.032882,legit,15.371,0.388,,
A1#3664092,A1,0.024323,legit,15.521,0.403,,
A2#3664346,A2,0.070107,legit,39.405,,0.401,
A2#3663889,A2,0.231255,legit,42.891,,0.435,
B0#3664336,B0,0.069417,legit,,0.389,,114.7347
B0#3664229,B0,0.115827,legit,,0.399,,95.9605
A1#3664452,A1,0.083687,legit,15.638,0.373,,
A1#3664485,A1,0.074324,legit,16.353,0.413,,
A1#3663626,A1,0.333734,legit,13.901,0.41,,
3663669,A2,0.167678,legit,37.063,,0.565,
A1#3663761,A1,0.209204,legit,15.142,0.387,,
enrichment_on#3663719,A2,0.148472,legit,38.974,,0.663,
A1#3663841,A1,0.065762,legit,14.519,0.453,,
B0#3663955,B0,0.157307,legit,,0.385,,57.5871
B0#3663842,B0,0.041542,legit,,0.366,,40.2628
A1#3663996,A1,0.528711,fraud,13.983,0.43,,
A2#3663862,A2,0.052521,legit,38.771,,0.405,
A2#3663682,A2,0.146828,legit,40.61,,0.387,
A2#3663957,A2,0.205091,legit,56.93,,0.403,
A1#3664154,A1,0.091194,legit,13.861,0.403,,
A1#3663846,A1,0.122257,legit,14.565,0.418,,
A2#3663692,A2,0.080222,legit,38.879,,0.419,
B0#3664099,B0,0.211489,legit,,0.383,,78.7172
B0#3664047,B0,0.022632,legit,,0.366,,71.507
B0#3664457,B0,0.143769,legit,,0.367,,132.6505
A2#3663558,A2,0.064006,legit,12012.839,,4.011,
A2#3663616,A2,0.027808,legit,46.383,,0.449,
A2#3664451,A2,0.015215,legit,39.806,,0.416,
A2#3663679,A2,0.047425,legit,38.945,,0.38,
A2#3664295,A2,0.153814,legit,40.651,,0.414,
A1#3664317,A1,0.165332,legit,14.648,0.432,,
A2#3664360,A2,0.061683,legit,42.048,,0.402,
B0#3664410,B0,0.064023,legit,,0.378,,125.6165
enrichment_on#3663618,A2,0.038733,legit,3892.039,,0.85,
enrichment_off#3663742,A2,0.119323,legit,38.923,,0.637,
A1#3664000,A1,0.01924,legit,29.353,0.382,,
enrichment_off#3663604,A2,0.034505,legit,5324.532,,0.835,
3663578,A2,0.032129,legit,6015.237,,5.355,
A2#3663967,A2,0.038506,legit,37.485,,0.466,
A2#3663817,A2,0.084765,legit,77.417,,0.38,
A2#3663782,A2,0.187957,legit,38.805,,0.4,
B0#3664146,B0,0.02963,legit,,0.379,,84.3527
A1#3664045,A1,0.111313,legit,15.34,0.388,,
A1#3664463,A1,0.045649,legit,16.116,0.412,,
enrichment_on#3663662,A2,0.045121,legit,1132.686,,17.86,
A2#3663763,A2,0.054536,legit,53.693,,0.394,
A1#3663586,A1,0.119642,legit,1790.895,0.415,,
A2#3663875,A2,0.059516,legit,86.116,,0.494,
A2#3663974,A2,0.051302,legit,41.891,,2.015,
3663706,A2,0.099048,legit,36.892,,0.552,
A1#3664478,A1,0.116847,legit,20.829,5.416,,
3663633,A2,0.039047,legit,1707.567,,4.436,
A1#3664101,A1,0.043492,legit,20.585,4.989,,
A1#3664319,A1,0.124371,legit,13.768,0.39,,
A2#3664086,A2,0.084607,legit,37.818,,0.413,
B0#3663555,B0,0.211343,legit,,0.387,,1.3127
B0#3664060,B0,0.018336,legit,,0.427,,73.2929
B0#3664313,B0,0.108251,legit,,0.439,,109.0898
A1#3663743,A1,0.067502,legit,12.583,0.385,,
A1#3664238,A1,0.002457,legit,15.637,0.429,,
A1#3663619,A1,0.042936,legit,15.752,0.383,,
A1#3663905,A1,0.09091,legit,14.975,0.384,,
A2#3663720,A2,0.025174,legit,40.432,,0.393,
B0#3664141,B0,0.021632,legit,,0.43,,83.8082
B0#3664211,B0,0.192602,legit,,0.352,,93.5346
A2#3663851,A2,0.273404,legit,39.274,,0.442,
A2#3663550,A2,0.054846,legit,7128.144,,4.053,
B0#3663712,B0,0.063359,legit,,0.363,,21.809
A1#3664379,A1,0.050335,legit,15.475,0.43,,
B0#3664307,B0,0.046501,legit,,0.39,,107.96
B0#3664104,B0,0.140711,legit,,0.354,,79.2918
3663721,A2,0.166113,legit,36.949,,0.592,
enrichment_on#3663647,A2,0.078597,legit,2298.073,,0.775,
B0#3664484,B0,0.007331,legit,,0.413,,137.5742
3663724,A2,0.045119,legit,37.945,,0.6,
A1#3663671,A1,0.052301,legit,12.98,0.389,,
A2#3663845,A2,0.079654,legit,41.097,,0.447,
A1#3663778,A1,0.888715,fraud,11.899,0.384,,
enrichment_off#3663575,A2,0.086548,legit,7087.518,,0.89,
A1#3664268,A1,0.050877,legit,15.649,0.377,,
A1#3664084,A1,0.148429,legit,14.998,0.375,,
B0#3664230,B0,0.073738,legit,,0.422,,96.065
A2#3664534,A2,0.238399,legit,68.411,,0.402,
B0#3664131,B0,0.047811,legit,,0.354,,82.6547
enrichment_on#3663620,A2,0.035294,legit,4170.693,,0.794,
A2#3663905,A2,0.09091,legit,40.278,,0.405,
A2#3663908,A2,0.020646,legit,39.371,,0.404,
A1#3664325,A1,0.052344,legit,12.591,0.414,,
A1#3663647,A1,0.078597,legit,16.443,0.392,,
B0#3663757,B0,0.017118,legit,,0.402,,28.5666
enrichment_off#3663743,A2,0.067502,legit,39.885,,0.6,
A1#3664409,A1,0.172128,legit,13.966,0.378,,
B0#3664350,B0,0.01311,legit,,0.391,,117.6239
CLEAN_TEST_003,A2,0.261784,legit,8168.809,,5.232,
A1#3664121,A1,0.015186,legit,24.663,0.381,,
A1#3663596,A1,0.026345,legit,25.453,0.388,,
A2#3663941,A2,0.169449,legit,38.594,,0.382,
A2#3664020,A2,0.024009,legit,52.247,,0.414,
3663656,A2,0.088057,legit,55.605,,0.621,
A1#3664035,A1,0.048653,legit,13.993,0.393,,
A2#3663977,A2,0.073541,legit,46.086,,0.405,
enrichment_on#3663672,A2,0.256264,legit,48.073,,0.836,
A1#3664079,A1,0.059809,legit,17.269,0.386,,
B0#3664036,B0,0.065764,legit,,0.374,,70.274
A2#3664522,A2,0.040337,legit,44.779,,0.425,
A1#3663754,A1,0.072438,legit,14.33,0.413,,
A2#3663719,A2,0.148472,legit,39.073,,0.403,
enrichment_off#3663551,A2,0.018437,legit,8229.561,,6.341,
A2#3664260,A2,0.142537,legit,38.35,,0.4,
A1#3664161,A1,0.065073,legit,14.98,0.386,,
A1#3663915,A1,0.049322,legit,14.662,0.387,,
A2#3663602,A2,0.455441,legit,43.168,,0.439,
enrichment_off#3663687,A2,0.169044,legit,37.139,,0.612,
A1#3664180,A1,0.072599,legit,17.671,0.415,,
3663726,A2,0.14281,legit,41.546,,0.596,
A1#3663879,A1,0.112709,legit,14.296,0.371,,
B0#3663813,B0,0.913738,fraud,,0.417,,36.4304
A2#3664525,A2,0.025761,legit,45.861,,0.406,
B0#3663904,B0,0.088731,legit,,0.364,,49.3916
3663682,A2,0.156369,legit,36.132,,0.594,
A2#3663846,A2,0.117377,legit,43.325,,2.083,
enrichment_off#3663741,A2,0.077777,legit,37.764,,0.688,
A2#3663895,A2,0.130959,legit,45.112,,5.471,
B0#3664369,B0,0.041539,legit,,0.36,,120.2267
B0#3663855,B0,0.06285,legit,,0.4,,41.997
B0#3663957,B0,0.205091,legit,,0.381,,57.8811
B0#3663659,B0,0.009064,legit,,0.38,,15.4893
A1#3664231,A1,0.041503,legit,13.547,0.382,,
A1#3663886,A1,0.035798,legit,17.458,0.377,,
B0#3664250,B0,0.018113,legit,,1.003,,98.8937
A2#3664387,A2,0.135062,legit,45.027,,2.608,
A1#3664218,A1,0.118868,legit,14.519,0.379,,
A2#3663864,A2,0.088111,legit,77.203,,0.463,
B0#3664343,B0,0.054649,legit,,0.392,,116.1385
A1#3664521,A1,0.143879,legit,16.438,0.404,,
B0#3664055,B0,0.099656,legit,,0.38,,72.6159
B0#3664488,B0,0.01599,legit,,0.365,,138.1537
3663574,A2,0.047904,legit,6194.861,,0.807,
A1#3664226,A1,0.039449,legit,13.589,0.375,,
A2#3663969,A2,0.10133,legit,56.141,,0.409,
A1#3663625,A1,0.031625,legit,13.626,0.401,,
A2#3663764,A2,0.04134,legit,39.13,,0.38,
B0#3663808,B0,0.086887,legit,,0.345,,35.7813
A2#3664218,A2,0.118868,legit,40.132,,0.376,
B0#3664371,B0,0.0346,legit,,0.374,,120.5503
enrichment_off#3663710,A2,0.059338,legit,39.218,,1.652,
A1#3663805,A1,0.068355,legit,15.879,0.37,,
A1#3664254,A1,0.112917,legit,16.011,0.408,,
A1#3664024,A1,0.292647,legit,16.801,0.377,,
A1#3664227,A1,0.010652,legit,39.135,0.395,,
B0#3664508,B0,0.101983,legit,,0.368,,140.939
A2#3663987,A2,0.132346,legit,42.125,,0.403,
B0#3663783,B0,0.013481,legit,,0.367,,32.6651
B0#3663729,B0,0.043101,legit,,0.392,,24.3702
A2#3664166,A2,0.027584,legit,47.905,,2.067,
A1#3664199,A1,0.360685,legit,17.699,0.411,,
B0#3664502,B0,0.063812,legit,,0.374,,140.2174
A1#3663967,A1,0.042934,legit,11.901,0.44,,
A1#3663948,A1,0.03016,legit,14.148,0.4,,
enrichment_off#3663557,A2,0.080275,legit,7316.475,,6.193,
A2#3664273,A2,0.269496,legit,49.698,,9.866,
A1#3663981,A1,0.077865,legit,15.148,0.4,,
A1#3663809,A1,0.03185,legit,12.962,0.372,,
B0#3664374,B0,0.090635,legit,,0.402,,120.9783
A1#3663608,A1,0.031858,legit,17.2,0.417,,
A1#3664122,A1,0.067712,legit,14.651,0.391,,
A1#3663636,A1,0.158781,legit,13.145,0.387,,
A2#3663927,A2,0.180512,legit,46.483,,0.401,
enrichment_on#3663727,A2,0.06286,legit,41.917,,0.639,
enrichment_on#3663575,A2,0.086548,legit,8512.864,,6.125,
B0#3664523,B0,0.191317,legit,,0.365,,143.1973
A1#3663635,A1,0.047963,legit,11.827,0.435,,
A2#3664047,A2,0.022632,legit,38.157,,0.435,
A2#3664227,A2,0.010652,legit,37.767,,0.389,
A1#3664394,A1,0.103814,legit,19.534,0.391,,
A2#3664453,A2,0.028669,legit,38.59,,0.383,
A1#3663826,A1,0.049497,legit,15.898,0.411,,
3663606,A2,0.025679,legit,4314.292,,0.867,
A1#3664139,A1,0.008048,legit,19.091,0.403,,
A2#3664146,A2,0.02147,legit,49.604,,0.432,
A2#3663757,A2,0.017118,legit,41.974,,0.383,
enrichment_on#3663748,A2,0.006167,legit,38.834,,0.638,
A1#3663976,A1,0.136652,legit,16.258,0.394,,
A1#3663556,A1,0.193744,legit,5472.309,0.389,,
A2#3663979,A2,0.044861,legit,39.84,,0.381,
A2#3664153,A2,0.03289,legit,40.118,,0.437,
A1#3664133,A1,0.078196,legit,14.646,0.451,,
A2#3664195,A2,0.035005,legit,40.799,,0.413,
enrichment_off#3663672,A2,0.256264,legit,39.717,,0.68,
B0#3664358,B0,0.027689,legit,,0.367,,118.6365
A1#3663561,A1,0.224079,legit,7565.588,0.44,,
enrichment_on#3663732,A2,0.025546,legit,39.134,,0.601,
B0#3663938,B0,0.33152,legit,,0.398,,54.7223
A1#3664277,A1,0.017518,legit,15.605,0.388,,
A1#3664414,A1,0.048691,legit,79.909,0.423,,
enrichment_on#3663669,A2,0.167678,legit,509.256,,3.384,
A1#3663708,A1,0.014364,legit,12.242,0.384,,
A2#3663853,A2,0.046545,legit,39.287,,0.396,
A2#3664100,A2,0.044878,legit,39.904,,0.409,
B0#3663888,B0,0.07726,legit,,0.363,,46.7349
B0#3664275,B0,0.020671,legit,,0.395,,103.1322
A1#3664050,A1,0.030022,legit,21.283,0.421,,
B0#3663950,B0,0.037273,legit,,0.415,,56.8253
A1#3664363,A1,0.029014,legit,12.359,0.432,,
A1#3664496,A1,0.029972,legit,17.691,0.474,,
enrichment_on#3663606,A2,0.025679,legit,5527.072,,0.775,
A2#3664378,A2,0.177069,legit,45.219,,0.436,
B0#3664089,B0,0.01799,legit,,0.405,,77.234
A2#3663760,A2,0.025985,legit,37.812,,0.378,
A2#3663887,A2,0.052047,legit,38.059,,0.469,
A2#3663653,A2,0.019125,legit,57.268,,0.382,
B0#3664545,B0,0.093445,legit,,0.435,,145.9841
A1#3663645,A1,0.08076,legit,12.147,0.426,,
A1#3663803,A1,0.164303,legit,14.827,0.403,,
B0#3664148,B0,0.027833,legit,,0.377,,84.633
B0#3664130,B0,0.13724,legit,,0.391,,82.5136
A1#3663932,A1,0.107943,legit,13.423,0.374,,
A1#3664140,A1,0.015081,legit,15.159,0.395,,
B0#3663695,B0,0.183586,legit,,0.406,,19.8784
B0#3663655,B0,0.305094,legit,,0.451,,15.0623
enrichment_off#3663582,A2,0.082821,legit,6581.518,,0.89,
A1#3663936,A1,0.138244,legit,19.417,0.402,,
A1#3664481,A1,0.089011,legit,16.359,0.411,,
B0#3663847,B0,0.017218,legit,,0.372,,40.974
A2#3664398,A2,0.121332,legit,40.582,,0.408,
A2#3664479,A2,0.073114,legit,87.84,,0.43,
A1#3663987,A1,0.132346,legit,14.783,0.396,,
A1#3664100,A1,0.056484,legit,15.874,0.411,,
A1#3664347,A1,0.013576,legit,14.996,0.384,,
A1#3664005,A1,0.051718,legit,16.274,0.449,,
B0#3663686,B0,0.018419,legit,,0.345,,18.9414
B0#3663694,B0,0.039336,legit,,0.365,,19.7737
A1#3664014,A1,0.117711,legit,13.379,0.387,,
3663550,A2,0.054846,legit,7671.645,,6.218,
B0#3664171,B0,0.125128,legit,,0.391,,87.6526
B0#3663577,B0,0.131649,legit,,0.399,,4.6837
A2#3663664,A2,0.203082,legit,41.431,,0.385,
B0#3664364,B0,0.082937,legit,,0.359,,119.4431
B0#3663622,B0,0.242482,legit,,0.362,,10.8477
B0#3664509,B0,0.038416,legit,,0.389,,141.0666
A2#3664107,A2,0.006169,legit,70.487,,3.756,
A2#3663771,A2,0.051521,legit,36.434,,0.4,
A1#3663638,A1,0.277528,legit,13.407,0.363,,
A1#3663577,A1,0.131649,legit,2817.85,0.383,,
A2#3663839,A2,0.009311,legit,52.501,,0.407,
A2#3664222,A2,0.144081,legit,36.01,,0.404,
3663630,A2,0.170553,legit,1994.568,,4.436,
B0#3663864,B0,0.088111,legit,,0.365,,43.0919
B0#3664164,B0,0.022278,legit,,0.357,,86.7469
3663709,A2,0.113103,legit,38.131,,0.581,
A2#3663754,A2,0.055486,legit,43.958,,0.412,
A1#3663990,A1,0.162603,legit,19.417,0.459,,
A2#3664069,A2,0.046149,legit,41.217,,0.406,
B0#3663697,B0,0.148929,legit,,0.373,,20.0671
3663715,A2,0.094502,legit,41.674,,0.667,
A2#3663950,A2,0.037273,legit,41.188,,0.397,
A2#3663585,A2,0.098037,legit,706.786,,0.404,
A1#3663955,A1,0.157307,legit,14.33,0.459,,
3663592,A2,0.100342,legit,6682.593,,0.56,
A1#3664233,A1,0.039716,legit,15.452,0.383,,
A1#3664408,A1,0.098263,legit,14.622,0.405,,
A1#3664448,A1,0.173312,legit,13.65,0.386,,
A1#3663763,A1,0.054536,legit,65.539,0.423,,
A2#3663748,A2,0.004445,legit,42.917,,0.392,
enrichment_on#3663565,A2,0.049792,legit,7737.869,,2.567,
enrichment_on#3663652,A2,0.040271,legit,1533.072,,0.836,
B0#3664086,B0,0.084607,legit,,0.391,,76.8259
B0#3663672,B0,0.256264,legit,,0.366,,17.2172
B0#3663985,B0,0.13254,legit,,0.4,,61.9916
B0#3664534,B0,0.248175,legit,,0.377,,144.6207
enrichment_off#3663718,A2,0.053593,legit,42.14,,0.629,
B0#3663966,B0,0.14391,legit,,0.372,,59.1912
3663661,A2,0.325982,legit,38.179,,0.661,
B0#3664536,B0,0.042859,legit,,0.364,,144.8575
B0#3663933,B0,0.161713,legit,,0.395,,53.9327
A1#3663665,A1,0.050231,legit,13.22,0.38,,
A2#3663622,A2,0.242482,legit,49.779,,0.437,
A2#3663810,A2,0.056603,legit,57.272,,0.412,
A2#3663722,A2,0.031726,legit,37.079,,0.386,
B0#3664118,B0,0.027501,legit,,0.371,,81.0749
A1#3663704,A1,0.010601,legit,12.089,0.37,,
B0#3664138,B0,0.048295,legit,,0.368,,83.4358
B0#3664304,B0,0.034912,legit,,0.361,,107.4199
A1#3663687,A1,0.169044,legit,20.074,0.41,,
A1#3663785,A1,0.14609,legit,12.693,0.378,,
A2#3663811,A2,0.934051,fraud,63.401,,0.446,
A1#3663744,A1,0.141304,legit,13.726,0.375,,
enrichment_on#3663698,A2,0.072228,legit,42.898,,2.404,
enrichment_on#3663701,A2,0.033508,legit,39.351,,0.875,
enrichment_on#3663560,A2,0.036645,legit,10182.923,,6.392,
A2#3664060,A2,0.018336,legit,39.52,,0.4,
A2#3664190,A2,0.021946,legit,39.775,,0.418,
B0#3664439,B0,0.159907,legit,,0.414,,129.2789
enrichment_off#3663638,A2,0.277528,legit,2798.107,,0.82,
A2#3663607,A2,0.071015,legit,38.147,,0.407,
enrichment_on#3663564,A2,0.059696,legit,10428.773,,6.175,
B0#3664530,B0,0.311371,legit,,0.405,,144.1283
B0#3664204,B0,0.205357,legit,,0.39,,92.5956
B0#3664120,B0,0.081607,legit,,0.397,,81.3463
A1#3663854,A1,0.123712,legit,19.388,0.381,,
enrichment_off#3663616,A2,0.027808,legit,4722.597,,0.822,
A2#3664361,A2,0.043409,legit,38.997,,0.413,
B0#3663721,B0,0.123169,legit,,0.378,,23.0665
A1#3663781,A1,0.030066,legit,13.929,0.388,,
A1#3664096,A1,0.199339,legit,16.88,2.124,,
A2#3664497,A2,0.026418,legit,45.092,,2.685,
B0#3663940,B0,0.047381,legit,,0.422,,55.1503
B0#3663815,B0,0.129468,legit,,0.407,,36.6861
A2#3663959,A2,0.009444,legit,38.306,,0.433,
B0#3663556,B0,0.193744,legit,,0.381,,1.4836
A2#3664421,A2,0.052005,legit,44.641,,0.405,
B0#3664514,B0,0.001415,legit,,0.382,,142.0172
A1#3664191,A1,0.049066,legit,18.155,0.401,,
B0#3664417,B0,0.075623,legit,,0.368,,126.5587
A1#3663639,A1,0.0247,legit,12.59,0.414,,
A2#3664037,A2,0.023222,legit,38.588,,0.404,
A1#3664170,A1,0.02438,legit,15.984,0.373,,
enrichment_on#3663591,A2,0.021237,legit,7856.923,,6.392,
B0#3663858,B0,0.3998,legit,,0.387,,42.4488
A1#3663759,A1,0.098207,legit,12.173,0.381,,
B0#3663981,B0,0.077865,legit,,0.389,,61.0848
B0#3664065,B0,0.061547,legit,,0.381,,73.9085
B0#3663893,B0,0.329944,legit,,0.364,,47.556
A1#3664449,A1,0.081565,legit,13.644,0.369,,
A1#3663816,A1,0.117846,legit,13.016,0.493,,
A1#3663660,A1,0.025138,legit,11.844,0.465,,
A1#3664184,A1,0.047759,legit,23.132,0.444,,
A2#3663731,A2,0.062755,legit,41.429,,2.044,
3663743,A2,0.067502,legit,38.861,,0.57,
B0#3664334,B0,0.193457,legit,,0.38,,114.4457
A1#3664366,A1,0.110041,legit,13.554,0.418,,
enrichment_off#3663732,A2,0.025546,legit,39.778,,0.623,
B0#3664267,B0,0.032334,legit,,0.386,,101.7354
B0#3664538,B0,0.059075,legit,,0.383,,145.1208
enrichment_on#3663637,A2,0.296842,legit,2493.36,,5.664,
A1#3664404,A1,0.037112,legit,12.508,0.407,,
B0#3663597,B0,0.056668,legit,,0.37,,7.788
A2#3664137,A2,0.223866,legit,40.786,,0.399,
enrichment_on#3663582,A2,0.06267,legit,8443.569,,6.282,
enrichment_off#3663637,A2,0.296842,legit,2641.277,,0.804,
A2#3664229,A2,0.115827,legit,70.195,,0.427,
B0#3663647,B0,0.078597,legit,,0.408,,14.0518
A2#3663947,A2,0.030427,legit,38.218,,0.39,
B0#3663557,B0,0.080275,legit,,0.446,,1.6495
A1#3664144,A1,0.014352,legit,16.609,0.389,,
A2#3664353,A2,0.022503,legit,46.311,,0.428,
A1#3663985,A1,0.13254,legit,15.656,0.376,,
B0#3664226,B0,0.039449,legit,,0.406,,95.5487
A1#3664060,A1,0.018336,legit,14.638,0.379,,
B0#3663765,B0,0.064329,legit,,0.39,,29.9996
enrichment_on#3663688,A2,0.018268,legit,40.099,,0.637,
